date,temperature_2m,apparent_temperature,precipitation,rain,relative_humidity_2m,cloud_cover,is_weekend,apparent_temperature_rolling_avg,rain_rolling_avg,precipitation_rolling_avg,cloud_cover_rolling_avg
2024-12-31 00:00:00+01:00,1.267,-3.520907,0.0,0.0,93.72261,100.0,False,,,,
2025-01-01 00:00:00+01:00,3.1045,-2.2226725,0.0,0.0,85.26505,93.583336,False,,,,
2025-01-02 00:00:00+01:00,3.0753334,-0.32515392,18.5,13.099999,94.490364,99.5,False,-2.022911101579666,4.366666475931804,6.166666666666667,97.69444529215495
2025-01-03 00:00:00+01:00,0.23366666,-3.898327,0.1,0.0,86.11314,80.75,False,-2.4917651042342186,3.2749998569488525,4.650000000372529,93.45833396911621
2025-01-06 00:00:00+01:00,9.37325,4.493859,4.7,4.7,78.88586,94.208336,False,-1.0946403205394746,3.5599998474121093,4.65999996215105,93.60833435058593
2025-01-07 00:00:00+01:00,3.9607499,-1.3542322,3.9,2.9,83.5734,70.208336,False,-0.6613053739070892,4.139999866485596,5.4399999812245365,87.6500015258789
2025-01-08 00:00:00+01:00,3.31075,-0.23245656,15.9,11.3,93.17899,96.541664,False,-0.2632621943950653,6.399999904632568,8.61999990493059,88.24166717529297
2025-01-09 00:00:00+01:00,5.4899163,1.2686939,11.6,9.8,91.47707,82.666664,False,0.05550737380981445,5.740000057220459,7.239999981224537,84.875
2025-01-10 00:00:00+01:00,0.30449998,-3.428955,0.0,0.0,88.7996,63.083332,False,0.14938178062438964,5.740000057220459,7.219999980926514,81.34166641235352
2025-01-13 00:00:00+01:00,-1.9913334,-5.926178,0.0,0.0,81.25934,14.666667,False,-1.9346255779266357,4.800000095367432,6.280000019073486,65.43333263397217
2025-01-14 00:00:00+01:00,-1.8100833,-5.0855765,0.0,0.0,75.21003,18.958334,False,-2.680894446372986,4.220000076293945,5.5,55.18333225250244
2025-01-15 00:00:00+01:00,2.8607502,0.22528756,0.0,0.0,89.221535,97.291664,False,-2.589345622062683,1.9600000381469727,2.3200000762939452,55.333332252502444
2025-01-16 00:00:00+01:00,2.242,-1.0270373,0.0,0.0,92.38921,54.958332,False,-3.048491859436035,0.0,0.0,49.79166584014892
2025-01-17 00:00:00+01:00,-0.29550004,-3.6372764,0.0,0.0,92.45715,39.041668,False,-3.0901561260223387,0.0,0.0,44.98333301544189
2025-01-20 00:00:00+01:00,-0.69341666,-3.848901,0.0,0.0,87.77009,85.375,False,-2.6747007369995117,0.0,0.0,59.124999618530275
2025-01-21 00:00:00+01:00,-0.72674996,-3.5263364,0.0,0.0,86.799774,56.875,False,-2.3628527164459228,0.0,0.0,66.70833282470703
2025-01-22 00:00:00+01:00,1.9128333,-1.6609473,1.7,1.7,86.411095,99.75,False,-2.7400996923446654,0.34000000953674314,0.34000000953674314,67.2
2025-01-23 00:00:00+01:00,4.3461666,0.12865819,8.4,7.2,89.8859,96.375,False,-2.5089606016874315,1.7799999713897705,2.019999933242798,75.48333358764648
2025-01-24 00:00:00+01:00,7.0920005,2.7590697,4.1,4.1,81.74191,99.791664,False,-1.229691383242607,2.599999952316284,2.8399999141693115,87.63333282470703
2025-01-27 00:00:00+01:00,9.219084,4.7836795,10.2,10.2,85.96527,98.125,False,0.49682472050189974,4.639999914169311,4.879999876022339,90.18333282470704
